file,hash,tokens,cluster_rep
3dvisNo1.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
coalescing_grid.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
entropic_pulsefield.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
entropic_visualizer.py,0x9a3a2aa8ac8fd3efae781a2b7def899d,299,entropic_visualizer.py
experiment1.py,0x9a3a2ba8bc8fd3efae788aab716f8f99,583,entropic_visualizer.py
import_pyaudio_tool.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygameeq.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizer.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo1.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo10.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo11.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo12.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo13.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo14.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo2.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo3.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo4.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo5.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo6.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo6b.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo7.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo8.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pygamemusicvisualizerNo9.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
pyvisualizercombinedNo1.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
ReverseImpulse.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
reversevisualszNo1.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
reversevisualszNo2.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
reversevisualszNo3.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
spectrumtomidi.py,0x9a3a28a8bc8fd3eeac789a2b79efaf95,25,entropic_visualizer.py
warpfield_visualizer.py,0x9a3a2aa8bc8fd3efae789aab716f0f99,719,entropic_visualizer.py
worm_born_decay_pull.py,0x9a3a2aa8ac8bd3efae788aab79ef8b99,565,entropic_visualizer.py
emoji.py,0x883880a2ad4fd1ecad788aaa78ebeef1,77,emoji.py
entropic_text_hud.py,0xca3aa98aa183ddedac4628af302f4e81,723,entropic_text_hud.py
entropic_worm_swarm.py,0x8a3a2aa8ac8bdbefae788aab78efcf99,561,entropic_worm_swarm.py
